Hugo Symbol	Entrez Gene ID	GRCh37 Isoform	GRCh37 RefSeq	GRCh38 Isoform	GRCh38 RefSeq	Gene Type	# of occurrence within resources (Column J-P)	OncoKB Annotated	MSK-IMPACT	MSK-HEME	FOUNDATION ONE	FOUNDATION ONE HEME	Vogelstein	COSMIC CGC (v99)	Gene Aliases
PRCC	5546	ENST00000271526	NM_005973	ENST00000271526	NM_005973	ONCOGENE	2	Yes	No	No	No	No	No	Yes	RCCP1
PRDM16	63976						2	No	No	No	No	Yes	No	Yes	KIAA1675, KMT8F, MEL1, MGC166915, PFM13
PRKACA	5566	ENST00000308677	NM_002730.3	ENST00000308677	NM_002730.3	ONCOGENE	2	Yes	No	No	No	No	No	Yes	PKACa
PRKDC	5591	ENST00000314191	NM_006904.6	ENST00000314191	NM_006904.7	ONCOGENE_AND_TSG	2	Yes	No	No	No	Yes	No	No	DNA-PKC, DNA-PKcs, DNAPK, DNAPKc, DNPK1, HYRC, HYRC1, XRCC7, p350, p460
PRRX1	5396						2	No	No	No	No	Yes	No	Yes	PHOX1, PMX1
PSIP1	11168						2	No	No	No	No	Yes	No	Yes	DFS70, LEDGF, PSIP2
PTK7	5754	ENST00000230419	NM_002821	ENST00000230419	NM_002821.5	ONCOGENE	2	Yes	No	No	No	Yes	No	No	CCK4
PTPN1	5770	ENST00000371621	NM_001278618.1	ENST00000371621	NM_001278618.1	ONCOGENE_AND_TSG	2	Yes	No	Yes	No	No	No	No	PTP1B
PTPN13	5783	ENST00000411767	NM_080683	ENST00000411767	NM_080683	TSG	2	Yes	No	No	No	No	No	Yes	PTP-BAS, PTP-BL, PTP1E, PTPL1
PTPRO	5800						2	No	No	No	Yes	Yes	No	No	GLEPP1, NPHS6, PTP-U2, PTP-oc, PTPU2
RABEP1	9135						2	No	No	No	No	Yes	No	Yes	RAB5EP, RABPT5, neurocrescin, rabaptin-5
RANBP2	5903	ENST00000283195	NM_006267	ENST00000283195	NM_006267	ONCOGENE	2	Yes	No	No	No	No	No	Yes	ADANE, ANE1, NUP358
RAP1GDS1	5910						2	No	No	No	No	Yes	No	Yes	SmgGDS
RELN	5649	ENST00000428762	NM_005045.3	ENST00000428762	NM_005045.3	INSUFFICIENT_EVIDENCE	2	Yes	No	No	No	Yes	No	No	PRO1598, RL
REST	5978	ENST00000309042	NM_001193508.1	ENST00000309042	NM_001193508.1	TSG	2	Yes	Yes	No	No	No	No	No	DFNA27, NRSF, XBR
RHOH	399						2	No	No	No	No	Yes	No	Yes	ARHH, TTF
RNF213	57674						2	No	No	No	No	Yes	No	Yes	ALO17, C17orf27, KIAA1554, KIAA1618, MYMY2, NET57
ROBO1	6091	ENST00000464233	NM_002941.3	ENST00000464233	NM_002941.3	TSG	2	Yes	No	Yes	No	No	No	No	DUTT1, FLJ21882, SAX3
RPL22	6146						2	No	No	No	No	Yes	No	Yes	EAP, L22
RPL5	6125	ENST00000370321	NM_000969	ENST00000370321	NM_000969	TSG	2	Yes	No	No	No	No	No	Yes	L5, PPP1R135, uL18
RPN1	6184						2	No	No	No	No	Yes	No	Yes	
RSPO3	84870	ENST00000356698	NM_032784.4	ENST00000356698	NM_032784.5	ONCOGENE	2	Yes	No	No	No	No	No	Yes	FLJ14440, THSD2
SAMHD1	25939	ENST00000262878	NM_015474.3	ENST00000646673	NM_015474.3	TSG	2	Yes	No	Yes	No	No	No	No	AGS5, HDDC1, MOP-5, Mg11, SBBI88
SCG5	6447	ENST00000300175	NM_001144757.1	ENST00000300175	NM_001144757.1	ONCOGENE	2	Yes	Yes	No	No	No	No	No	7B2, SGNE1, SgV
SDC4	6385						2	No	No	No	Yes	No	No	Yes	SYND4, amphiglycan, ryudocan
SERPINB3	6317	ENST00000283752	NM_006919.2	ENST00000283752	NM_006919.2	ONCOGENE_AND_TSG	2	Yes	Yes	No	No	No	No	No	HsT1196, SCC, SCCA1, T4-A
SERPINB4	6318	ENST00000341074	NM_002974.3	ENST00000341074	NM_002974.3	INSUFFICIENT_EVIDENCE	2	Yes	Yes	No	No	No	No	No	LEUPIN, PI11, SCCA-2, SCCA2
SETD1A	9739	ENST00000262519	NM_014712.2	ENST00000262519	NM_014712.2	ONCOGENE	2	Yes	No	Yes	No	No	No	No	KIAA0339, KMT2F, SET1A, Set1
SETD1B	23067	ENST00000604567	XM_005253858.3	ENST00000604567	XM_005253858.3	INSUFFICIENT_EVIDENCE	2	Yes	No	Yes	No	No	No	No	KIAA1076, KMT2G, Set1B
SETD3	84193	ENST00000331768	NM_032233.2	ENST00000331768	NM_032233.2	INSUFFICIENT_EVIDENCE	2	Yes	No	Yes	No	No	No	No	C14orf154, FLJ23027
SETD4	54093	ENST00000332131	NM_017438.4	ENST00000332131	NM_017438.4	INSUFFICIENT_EVIDENCE	2	Yes	No	Yes	No	No	No	No	C21orf18, C21orf27
SETD5	55209	ENST00000402198	NM_001080517.2	ENST00000402198	NM_001080517.2	INSUFFICIENT_EVIDENCE	2	Yes	No	Yes	No	No	No	No	FLJ10707
SETD6	79918	ENST00000219315	NM_001160305.1	ENST00000219315	NM_001160305.1	INSUFFICIENT_EVIDENCE	2	Yes	No	Yes	No	No	No	No	FLJ21148
SETD7	80854	ENST00000274031	NM_001306199.1	ENST00000274031	NM_001306199.1	INSUFFICIENT_EVIDENCE	2	Yes	No	Yes	No	No	No	No	KIAA1717, KMT7, SET7, SET7/9, Set9
SETDB2	83852	ENST00000354234	NM_031915.2	ENST00000317257	NM_031915.2	TSG	2	Yes	No	Yes	No	No	No	No	C13orf4, CLLD8, CLLL8, KMT1F
SH3GL1	6455						2	No	No	No	No	Yes	No	Yes	CNSA1, EEN, MGC111371, SH3D2B, SH3P8
SLC34A2	10568						2	No	No	No	Yes	No	No	Yes	NAPI-3B
SLFN11	91607	ENST00000308377	NM_001104587.1	ENST00000308377	NM_001104587.1	TSG	2	Yes	Yes	No	No	No	No	No	FLJ34922
SMARCA1	6594	ENST00000371122	NM_003069	ENST00000371122	NM_003069	ONCOGENE_AND_TSG	2	Yes	No	No	No	Yes	No	No	ISWI, NURF140, SNF2L, SNF2L1, SNF2LB, SWI, hSNF2L
SMARCA2	6595	ENST00000349721	NM_001289396.1	ENST00000349721	NM_001289396.1	TSG	2	Yes	Yes	No	No	No	No	No	BAF190, BRM, SNF2, SNF2L2, SNF2LA, SWI2, Sth1p, hBRM, hSNF2a
SMG1	23049	ENST00000446231	NM_015092.4	ENST00000446231	NM_015092.4	TSG	2	Yes	No	Yes	No	No	No	No	KIAA0421, LIP
SOCS3	9021	ENST00000330871	NM_003955.4	ENST00000330871	NM_003955.4	TSG	2	Yes	No	No	No	Yes	No	No	CIS3, Cish3, SOCS-3, SSI-3
SOX10	6663	ENST00000360880	NM_006941	ENST00000360880	NM_006941	ONCOGENE	2	Yes	No	No	No	Yes	No	No	DOM, WS2E, WS4
SP140	11262	ENST00000392045	NM_007237.4	ENST00000392045	NM_007237.4	TSG	2	Yes	No	Yes	No	No	No	No	LYSP100-A, LYSP100-B
SPRTN	83932	ENST00000295050	NM_032018.6	ENST00000295050	NM_032018.6	TSG	2	Yes	Yes	No	No	No	No	No	C1orf124, DKFZP547N043, DVC1, Spartan
SRSF3	6428						2	No	No	No	No	Yes	No	Yes	SFRS3, SRp20
SSX4	6759						2	No	No	No	No	Yes	No	Yes	CT5.4
STAG1	10274	ENST00000383202	NM_005862.2	ENST00000383202	NM_005862.2	TSG	2	Yes	No	Yes	No	No	No	No	SA-1, SA1, SCC3A
STAT4	6775	ENST00000358470	NM_001243835	ENST00000358470	NM_001243835	ONCOGENE	2	Yes	No	No	No	Yes	No	No	
TAF1	6872	ENST00000423759	NM_001286074.1	ENST00000423759	NM_004606.5	ONCOGENE	2	Yes	No	No	No	Yes	No	No	BA2R, CCG1, CCGS, DYT3, DYT3/TAF1, KAT4, NSCL2, TAFII250
TAF15	8148						2	No	No	No	No	Yes	No	Yes	Npl3, RBP56, TAF2N, hTAFII68
TAL2	6887						2	No	No	No	No	Yes	No	Yes	bHLHa19
TET3	200424	ENST00000409262	NM_144993	ENST00000409262	NM_144993	TSG	2	Yes	No	Yes	No	No	No	No	MGC22014, hCG_40738
TFG	10342						2	No	No	No	No	Yes	No	Yes	FLJ36137, SPG57, TF6
TPM4	7171						2	No	No	No	No	Yes	No	Yes	
TRA	6955					ONCOGENE	2	Yes	No	No	No	No	No	Yes	TCRA, TRA@
TRB	6957					ONCOGENE	2	Yes	No	No	No	No	No	Yes	TCRB, TRB@
TRD	6964					ONCOGENE	2	Yes	No	No	No	No	No	Yes	TCRD, TCRDV1, TRD@
TRG	6965					ONCOGENE	2	Yes	No	No	No	Yes	No	No	TCRG, TRG@
TRIM24	8805						2	No	No	No	No	Yes	No	Yes	RNF82, TIF1, TIF1A, Tif1a, hTIF1
TRIM27	5987	ENST00000377199	NM_006510	ENST00000377199	NM_006510	ONCOGENE	2	Yes	No	No	No	No	No	Yes	RFP, RNF76
TRIP11	9321						2	No	No	No	No	Yes	No	Yes	CEV14, GMAP-210, GMAP210, Trip230
TRIP13	9319	ENST00000166345	NM_004237.3	ENST00000166345	NM_004237.3	ONCOGENE_AND_TSG	2	Yes	Yes	No	No	No	No	No	16E1BP
VAV1	7409	ENST00000602142	NM_005428.3	ENST00000602142	NM_005428.3	ONCOGENE	2	Yes	No	Yes	No	No	No	No	VAV
VAV2	7410	ENST00000371850	NM_001134398.1	ENST00000371850	NM_001134398.1	ONCOGENE	2	Yes	No	Yes	No	No	No	No	
WIF1	11197	ENST00000286574	NM_007191.4	ENST00000286574	NM_007191.4	TSG	2	Yes	No	No	No	No	No	Yes	
WRN	7486	ENST00000298139	NM_000553	ENST00000298139	NM_000553	TSG	2	Yes	No	No	No	No	No	Yes	RECQ3, RECQL2
XPA	7507	ENST00000375128	NM_000380	ENST00000375128	NM_000380	TSG	2	Yes	No	No	No	No	No	Yes	XP1, XPAC
XPC	7508	ENST00000285021	NM_004628	ENST00000285021	NM_004628	TSG	2	Yes	No	No	No	No	No	Yes	RAD4, XPCC
YWHAE	7531	ENST00000264335	NM_006761.4	ENST00000264335	NM_006761.5	ONCOGENE	2	Yes	No	No	No	No	No	Yes	FLJ45465
ZBTB16	7704						2	No	No	No	No	Yes	No	Yes	PLZF, ZNF145
ZBTB7A	51341	ENST00000322357	NM_015898	ENST00000322357	NM_015898	ONCOGENE_AND_TSG	2	Yes	No	Yes	No	No	No	No	DKFZp547O146, FBI-1, LRF, ZBTB7, ZNF857A, pokemon
ZMYM2	7750						2	No	No	No	No	Yes	No	Yes	FIM, RAMP, ZNF198
ZMYM3	9203	ENST00000314425	NM_005096	ENST00000314425	NM_005096	TSG	2	Yes	No	No	No	Yes	No	No	DXS6673E, KIAA0385, ZNF198L2, ZNF261
ZNF384	171017						2	No	No	No	No	Yes	No	Yes	CAGH1A, CIZ, NMP4, TNRC1
ZNF521	25925						2	No	No	No	No	Yes	No	Yes	EHZF, Evi3
ZNF703	80139						2	No	No	No	Yes	Yes	No	No	FLJ14299, NLZ1, ZEPPO1, ZNF503L, Zpo1
ZNRF3	84133	ENST00000544604	NM_001206998.1	ENST00000544604	NM_001206998.1	TSG	2	Yes	Yes	No	No	No	No	No	BK747E2.3, FLJ22057, KIAA1133, RNF203
A1CF	29974	ENST00000373993		ENST00000373993		ONCOGENE	1	Yes	No	No	No	No	No	No	ACF, ACF64, ACF65, APOBEC1CF
ABCB1	5243	ENST00000265724	NM_000927.4	ENST00000622132	NM_001348946.2	ONCOGENE	1	Yes	No	No	No	No	No	No	ABC20, CD243, CLCS, GP170, MDR1, P-gp, PGY1, p-170
ABCC3	8714	ENST00000285238	NM_003786.3	ENST00000285238	NM_003786.4	ONCOGENE	1	Yes	No	No	No	No	No	No	EST90757, MLP2, MOAT-D, MRP3, cMOAT2
ACSL3	2181						1	No	No	No	No	No	No	Yes	FACL3, PRO2194
ACSL6	23305						1	No	No	No	No	Yes	No	No	FACL6, KIAA0837, LACS5
ACTB	60						1	No	No	No	No	Yes	No	No	
ADAR	103	ENST00000368474	NM_015841.3	ENST00000368474	NM_001111.5	INSUFFICIENT_EVIDENCE	1	Yes	No	No	No	No	No	No	ADAR1, G1P1, IFI4
ADARB2	105	ENST00000381312	NM_018702.3	ENST00000381312	NM_018702.4	ONCOGENE	1	Yes	No	No	No	No	No	No	ADAR3, RED2, hRED2
ADGRG4	139378	ENST00000394143	NM_153834.3	ENST00000394143	NM_153834.4	INSUFFICIENT_EVIDENCE	1	Yes	No	No	No	No	No	No	GPR112, PGR17, RP1-299I16
ADHFE1	137872	ENST00000396623	NM_144650	ENST00000396623	NM_144650	ONCOGENE	1	Yes	No	No	No	No	No	No	FLJ32430
AFF3	3899						1	No	No	No	No	No	No	Yes	LAF4, MLLT2-like
AGGF1	55109	ENST00000312916	NM_018046.4	ENST00000312916	NM_018046.5	ONCOGENE	1	Yes	No	No	No	No	No	No	FLJ10283, GPATC7, GPATCH7, HSU84971, VG5Q
AGK	55750	ENST00000355413	NM_018238.3	ENST00000649286	NM_018238.4	ONCOGENE	1	Yes	No	No	No	No	No	No	FLJ10842, MULK
AIM2	9447	ENST00000368130	NM_004833.1	ENST00000368130	NM_004833.3	TSG	1	Yes	No	No	No	No	No	No	PYHIN4
AIP	9049	ENST00000279146	NM_003977.2	ENST00000279146	NM_003977.4	ONCOGENE_AND_TSG	1	Yes	No	No	No	No	No	No	ARA9, FKBP16, FKBP37, XAP2
AJUBA	84962	ENST00000262713	NM_032876.5	ENST00000262713	NM_032876.5	TSG	1	Yes	No	No	No	No	No	No	JUB, MGC15563
AKT1S1	84335	ENST00000344175	NM_001098632	ENST00000344175	NM_001098633.4	ONCOGENE	1	Yes	No	No	No	No	No	No	Lobe, MGC2865, PRAS40
ALDH1A3	220	ENST00000329841	NM_000693.2	ENST00000329841	NM_000693.4	ONCOGENE	1	Yes	No	No	No	No	No	No	ALDH6, RALDH3
ALDH1L2	160428	ENST00000258494	NM_001034173	ENST00000258494	NM_001034173	ONCOGENE	1	Yes	No	No	No	No	No	No	FLJ38508, mtFDH
ALDH2	217	ENST00000261733	NM_000690	ENST00000261733	NM_000690	TSG	1	Yes	No	No	No	No	No	No	
ALOX15B	247	ENST00000380183		ENST00000380183	NM_001141.3	TSG	1	Yes	No	No	No	No	No	No	15-LOX-2
ALOX5	240	ENST00000374391	NM_001256153.1	ENST00000374391	NM_000698.5	ONCOGENE_AND_TSG	1	Yes	No	No	No	No	No	No	5-LOX
ANK1	286	ENST00000289734	NM_000037.3	ENST00000289734	NM_000037.4	ONCOGENE_AND_TSG	1	Yes	No	No	No	No	No	No	ANK, SPH1
ANKRD26	22852	ENST00000376087	NM_014915.2	ENST00000376087	NM_014915.3	ONCOGENE	1	Yes	No	No	No	No	No	No	KIAA1074, THC2
APEX1	328	ENST00000216714	NM_001641.3	ENST00000216714	NM_001641.4	ONCOGENE	1	Yes	No	No	No	No	No	No	APE-1, APEN, APEX, APX, REF-1
APH1A	51107						1	No	No	No	No	Yes	No	No	APH-1A, CGI-78
ASCL1	429	ENST00000266744	NM_004316.3	ENST00000266744	NM_004316.4	ONCOGENE	1	Yes	No	No	No	No	No	No	HASH1, bHLHa46
ASMTL	8623						1	No	No	No	No	Yes	No	No	
ASPSCR1	79058						1	No	No	No	No	No	No	Yes	ASPL, ASPS, TUG, UBXD9, UBXN9
ATMIN	23300	ENST00000299575	NM_015251.2	ENST00000299575	NM_015251.3	TSG	1	Yes	No	No	No	No	No	No	ASCIZ, KIAA0431, ZNF822
ATP2B3	492						1	No	No	No	No	No	No	Yes	CFAP39, CLA2, PMCA3, SCAX1
ATRIP	84126	ENST00000320211	NM_130384	ENST00000320211	NM_130384	TSG	1	Yes	No	No	No	No	No	No	FLJ12343, MGC20625, MGC21482, MGC26740
AURKC	6795	ENST00000302804	NM_001015878.1	ENST00000302804	NM_001015878.2	ONCOGENE	1	Yes	No	No	No	No	No	No	ARK3, AurC, STK13
BAALC	79870	ENST00000297574		ENST00000297574		ONCOGENE	1	Yes	No	No	No	No	No	No	
BABAM2	9577	ENST00000379624	NM_199191.2	ENST00000379624	NM_199191.3	INSUFFICIENT_EVIDENCE	1	Yes	No	No	No	No	No	No	BRCC4, BRCC45, BRE
BAX	581						1	No	No	No	No	No	No	Yes	BCL2L4
BIRC5	332	ENST00000350051	NM_001168.2	ENST00000350051	NM_001168.3	ONCOGENE	1	Yes	No	No	No	No	No	No	API4, survivin
BRD2	6046	ENST00000374825	NM_005104.3	ENST00000374825	NM_005104.4	ONCOGENE	1	Yes	No	No	No	No	No	No	BRD2-IT1, D6S113E, FSRG1, KIAA9001, NAT, RING3
BRD9	65980	ENST00000467963	NM_023924.4	ENST00000467963	NM_023924.5	ONCOGENE	1	Yes	No	No	No	No	No	No	FLJ13441
BTLA	151888						1	No	No	No	No	Yes	No	No	BTLA1, CD272
CASR	846	ENST00000490131	NM_000388.3	ENST00000639785	NM_000388.4	ONCOGENE_AND_TSG	1	Yes	No	No	No	No	No	No	FHH, GPRC2A, HHC, HHC1, NSHPT
CAV1	857	ENST00000341049	NM_001753.4	ENST00000341049	NM_001753.5	ONCOGENE_AND_TSG	1	Yes	No	No	No	No	No	No	CAV
CBLC	23624						1	No	No	No	No	No	No	Yes	CBL-3, CBL-SL, RNF57
CCAR1	55749	ENST00000265872	NM_018237.2	ENST00000265872	NM_018237.4	TSG	1	Yes	No	No	No	No	No	No	CARP-1, CARP1, FLJ10590
CCDC6	8030						1	No	No	No	No	No	No	Yes	D10S170, H4, TPC, TST1
CCNB3	85417	ENST00000276014	NM_033031.2	ENST00000276014	NM_033031.2	ONCOGENE	1	Yes	No	No	No	No	No	No	
CCT6B	10693						1	No	No	No	No	Yes	No	No	Cctz2, TSA303
CD19	930	ENST00000324662	NM_001770	ENST00000538922	NM_001770	ONCOGENE	1	Yes	No	No	No	No	No	No	
CD36	948						1	No	No	No	No	Yes	No	No	GP3B, GP4, GPIV, SCARB3
CDH2	1000	ENST00000269141	NM_001792	ENST00000269141	NM_001792	ONCOGENE	1	Yes	No	No	No	No	No	No	CD325, CDHN, NCAD
CDH4	1002	ENST00000360469	NM_001794	ENST00000614565	NM_001794	ONCOGENE	1	Yes	No	No	No	No	No	No	
CDKN1C	1028	ENST00000440480	NM_001122630.2	ENST00000440480	NM_001122630.2	TSG	1	Yes	No	No	No	No	No	No	BWCR, BWS, P57
CHIC2	26511						1	No	No	No	No	Yes	No	No	BTL
CHN1	1123						1	No	No	No	No	Yes	No	No	ARHGAP2, CHN, DURS2, n-chimerin
CHTF8	54921	ENST00000398235	NM_001039690	ENST00000398235	NM_001039690	TSG	1	Yes	No	No	No	No	No	No	CTF8, FLJ20400
CKS1B	1163						1	No	No	No	No	Yes	No	No	ckshs1
CLP1	10978						1	No	No	No	No	Yes	No	No	HEAB, hClp1
CNBP	7555						1	No	No	No	No	No	No	Yes	CNBP1, DM2, RNF163, ZCCHC22, ZNF9
CNOT3	4849						1	No	No	No	No	No	No	Yes	KIAA0691, LENG2, NOT3, NOT3H
COL5A1	1289	ENST00000371817	NM_001278074.1	ENST00000371817	NM_000093.5	ONCOGENE	1	Yes	No	No	No	No	No	No	
CPS1	1373						1	No	No	No	No	Yes	No	No	
CREM	1390	ENST00000345491	NM_181571.2	ENST00000685392	NM_183011.2	INSUFFICIENT_EVIDENCE	1	Yes	No	No	No	No	No	No	hCREM-2
CRTC3	64784						1	No	No	No	No	No	No	Yes	FLJ21868
CSF1	1435						1	No	No	No	No	Yes	No	No	M-CSF, MCSF, MGC31930
CTC1	80169	ENST00000315684	NM_025099.5	ENST00000651323	NM_025099.6	INSUFFICIENT_EVIDENCE	1	Yes	No	No	No	No	No	No	AAF132, C17orf68, FLJ22170
CTDNEP1	23399	ENST00000318988	NM_015343.4	ENST00000574322	NM_001143775.2	TSG	1	Yes	No	No	No	No	No	No	DULLARD, HSA011916, NET56
CYP17A1	1586						1	No	No	No	Yes	No	No	No	CPT7, CYP17, P450C17, S17AH
DAZAP1	26528	ENST00000233078	NM_018959.3	ENST00000233078	NM_018959.3	INSUFFICIENT_EVIDENCE	1	Yes	No	No	No	No	No	No	MGC19907
DCTN1	1639						1	No	No	No	No	No	No	Yes	
DDR1	780						1	No	No	No	Yes	No	No	No	CAK, CD167, EDDR1, NEP, NTRK4, PTK3A, RTK6
DDX4	54514	ENST00000505374	NM_024415.2	ENST00000505374	NM_024415.2	ONCOGENE	1	Yes	No	No	No	No	No	No	VASA
DDX41	51428	ENST00000507955	NM_016222.2	ENST00000330503	NM_016222.4	TSG	1	Yes	No	No	No	No	No	No	ABS, MGC8828
DHX15	1665	ENST00000336812	NM_001358.2	ENST00000336812	NM_001358.3	ONCOGENE_AND_TSG	1	Yes	No	No	No	No	No	No	DBP1, DDX15, PRP43, PRPF43, PrPp43p
DIS3L2	129563	ENST00000325385	NM_152383.4	ENST00000325385	NM_152383.5	ONCOGENE_AND_TSG	1	Yes	No	No	No	No	No	No	FAM6A, FLJ36974, MGC42174
DKK1	22943	ENST00000373970	NM_012242.2	ENST00000373970	NM_012242.2	INSUFFICIENT_EVIDENCE	1	Yes	No	No	No	No	No	No	DKK-1, SK
DKK2	27123	ENST00000285311	NM_014421.2	ENST00000285311	NM_014421.2	INSUFFICIENT_EVIDENCE	1	Yes	No	No	No	No	No	No	
DKK3	27122	ENST00000326932	NM_001018057.1	ENST00000326932	NM_001018057.1	INSUFFICIENT_EVIDENCE	1	Yes	No	No	No	No	No	No	REIC
DKK4	27121	ENST00000220812	NM_014420.2	ENST00000220812	NM_014420.2	INSUFFICIENT_EVIDENCE	1	Yes	No	No	No	No	No	No	
DLL3	10683	ENST00000205143	NM_016941.3	ENST00000205143		ONCOGENE	1	Yes	No	No	No	No	No	No	SCDO1
DPYD	1806	ENST00000370192	NM_000110	ENST00000370192	NM_000110	INSUFFICIENT_EVIDENCE	1	Yes	No	No	No	No	No	No	DHPDHase, DPD
DUSP2	1844						1	No	No	No	No	Yes	No	No	PAC-1
DUSP9	1852						1	No	No	No	No	Yes	No	No	MKP-4, MKP4
ECSIT	51295	ENST00000270517	NM_016581	ENST00000270517	NM_016581	ONCOGENE	1	Yes	No	No	No	No	No	No	SITPEC
EGR2	1959	ENST00000242480	NM_001136177.1	ENST00000242480	NM_000399.5	TSG	1	Yes	No	No	No	No	No	No	KROX20
EIF2B1	1967	ENST00000424014	NM_001414	ENST00000424014	NM_001414	TSG	1	Yes	No	No	No	No	No	No	EIF-2B, EIF-2Balpha, EIF2B, EIF2BA
ELL2	22936	ENST00000237853	NM_012081.5	ENST00000237853	NM_012081.6	ONCOGENE_AND_TSG	1	Yes	No	No	No	No	No	No	MRCCAT1
ELP2	55250						1	No	No	No	No	Yes	No	No	FLJ10879, STATIP1, StIP
ERCC1	2067	ENST00000300853	NM_001983	ENST00000300853	NM_001983	TSG	1	Yes	No	No	No	No	No	No	RAD10
ERCC6	2074	ENST00000355832	NM_000124.3	ENST00000355832	NM_000124.4	ONCOGENE	1	Yes	No	No	No	No	No	No	ARMD5, CKN2, RAD26
EXOSC6	118460						1	No	No	No	No	Yes	No	No	EAP4, MTR3, Mtr3p, hMtr3p, p11
EXT2	2132						1	No	No	No	No	No	No	Yes	SOTV
FAF1	11124						1	No	No	No	No	Yes	No	No	CGI-03, HFAF1s, UBXD12, UBXN3A, hFAF1
FANCB	2187	ENST00000398334	NM_001018113.1	ENST00000650831	NM_001018113.3	INSUFFICIENT_EVIDENCE	1	Yes	No	No	No	No	No	No	FAAP95, FAB, FLJ34064
FANCI	55215	ENST00000310775	NM_001113378.1	ENST00000310775	NM_001113378.2	INSUFFICIENT_EVIDENCE	1	Yes	No	No	No	No	No	No	FLJ10719, KIAA1794
FANCM	57697	ENST00000267430	NM_020937	ENST00000267430	NM_020937	TSG	1	Yes	No	No	No	No	No	No	FAAP250, KIAA1596
FAT4	79633						1	No	No	No	No	No	No	Yes	CDHF14, CDHR11, FAT-J
FBXO31	79791						1	No	No	No	No	Yes	No	No	
FBXW2	26190	ENST00000608872	NM_012164	ENST00000608872	NM_012164	INSUFFICIENT_EVIDENCE	1	Yes	No	No	No	No	No	No	FBW2, Fwd2, Md6
FGF1	2246	ENST00000337706	NM_000800	ENST00000337706	NM_000800	ONCOGENE	1	Yes	No	No	No	No	No	No	AFGF, ECGF, ECGF-beta, ECGFA, ECGFB, FGF-alpha, FGFA, GLIO703, HBGF1
FGF12	2257						1	No	No	No	Yes	No	No	No	FGF12B, FHF1
FGF2	2247	ENST00000608478		ENST00000644866	NM_001361665.2	ONCOGENE	1	Yes	No	No	No	No	No	No	FGFB
FGF5	2250	ENST00000312465	NM_004464	ENST00000312465	NM_004464	ONCOGENE	1	Yes	No	No	No	No	No	No	
FGF7	2252	ENST00000267843	NM_002009	ENST00000267843	NM_002009	ONCOGENE	1	Yes	No	No	No	No	No	No	KGF
FGF8	2253	ENST00000344255	NM_033164	ENST00000344255	NM_033164	ONCOGENE	1	Yes	No	No	No	No	No	No	AIGF
FGF9	2254	ENST00000382353	NM_002010	ENST00000382353	NM_002010	ONCOGENE	1	Yes	No	No	No	No	No	No	
FIP1L1	81608						1	No	No	No	No	No	No	Yes	DKFZp586K0717, FIP1
FLYWCH1	84256						1	No	No	No	No	Yes	No	No	DKFZp761A132
FNBP1	23048						1	No	No	No	No	Yes	No	No	FBP17, KIAA0554
FOLH1	2346	ENST00000256999	NM_004476	ENST00000256999	NM_004476	ONCOGENE	1	Yes	No	No	No	No	No	No	FOLH, GCPII, NAALAD1, NAALAdase, PSM, PSMA
FOLR1	2348	ENST00000312293	NM_000802	ENST00000312293	NM_000802	ONCOGENE	1	Yes	No	No	No	No	No	No	FOLR, FRα
FOXN4	121643	ENST00000299162	NM_213596	ENST00000299162	NM_213596	ONCOGENE	1	Yes	No	No	No	No	No	No	
FSTL1	11167	ENST00000295633	NM_007085	ENST00000295633	NM_007085	ONCOGENE	1	Yes	No	No	No	No	No	No	FRP, FSL1, OCC-1, OCC1, tsc36
FZR1	51343	ENST00000395095	NM_001136198	ENST00000395095	NM_001136198	ONCOGENE_AND_TSG	1	Yes	No	No	No	No	No	No	CDC20C, FZR, FZR2, HCDH, HCDH1, KIAA1242
GADD45B	4616						1	No	No	No	No	Yes	No	No	DKFZP566B133, GADD45BETA, MYD118
GEN1	348654	ENST00000381254	NM_001130009.1	ENST00000381254	NM_001130009.3	INSUFFICIENT_EVIDENCE	1	Yes	No	No	No	No	No	No	FLJ40869, Gen
GMPS	8833						1	No	No	No	No	Yes	No	No	GATD7
GOLGA5	9950						1	No	No	No	No	No	No	Yes	GOLIM5, golgin-84, ret-II, rfg5
GOPC	57120						1	No	No	No	No	No	No	Yes	CAL, GOPC1, PIST, dJ94G16.2
GRB7	2886	ENST00000309156	NM_001030002	ENST00000309156	NM_001030002	ONCOGENE	1	Yes	No	No	No	No	No	No	
GSTO1	9446	ENST00000369713	NM_004832.2	ENST00000369713	NM_004832.3	ONCOGENE	1	Yes	No	No	No	No	No	No	GSTTLp28
GSTP1	2950	ENST00000398606	NM_000852.3	ENST00000398606	NM_000852.4	TSG	1	Yes	No	No	No	No	No	No	FAEES3, GST3, GSTP
GTSE1	51512						1	No	No	No	No	Yes	No	No	B99, GTSE-1
H3C15	333932	ENST00000403683	NM_001005464.2	ENST00000403683	NM_001005464.2	NEITHER	1	Yes	No	No	No	No	No	No	H3/n, H3/o, HIST2H3A
H3P6	440926	ENST00000316450		ENST00000369387		NEITHER	1	Yes	No	No	No	No	No	No	H3F3AP4
H4C6	8361			ENST00000244537	NM_003540	INSUFFICIENT_EVIDENCE	1	Yes	No	No	No	No	No	No	H4/c, H4FC, HIST1H4F
